material_id,formula,chemistry_family,predicted_voltage_V,est_capacity_mAh_g,est_energy_density_Wh_kg,energy_above_hull_meV,formation_energy_eV_atom,nsites
mp-1018134,Li,other,-1.1450008153915405,3861.4032560149835,-4421.309876692706,0.0,0.0,3
mp-1063005,Li,other,-1.6441783905029297,3861.4032560149835,-6348.835790557488,15.670883333333,0.015670883333333,3
mp-10173,Li,other,-1.0729950666427612,3861.4032560149835,-4143.266644022372,5.987748333333,0.005987748333333,2
mp-976411,Li,other,-1.172385334968567,3861.4032560149835,-4527.052549751841,5.889090833333,0.005889090833333,4
mp-567337,Li,other,-0.5091105699539185,3861.4032560149835,-1965.8812124917047,8.819463333333001,0.008819463333333001,8
mp-51,Li,other,-1.138213872909546,3861.4032560149835,-4395.102754894345,1.6723733333330002,0.001672373333333,1
mp-135,Li,other,-0.41396984457969666,3861.4032560149835,-1598.5045057520574,9.650863333333001,0.009650863333333001,1
mp-1232999,LiO8,oxide,3.803485631942749,198.6272030781955,755.4757130208911,16.817863333333,-0.410251224814815,9
mp-1236127,LiO8,oxide,3.7727062702178955,198.6272030781955,749.3620944889514,15.707888888889,-0.411361199259259,9
mp-995393,LiS4,sulfide,0.12229958176612854,198.23817871169592,24.244446346519457,0.0,-0.612184769666665,10
mp-569073,LiSn,sulfide,-0.09405556321144104,213.30510700272978,-20.062531975018445,0.0,-0.325866989166666,6
mp-1094568,LiMg,other,-1.0944441556930542,857.773795045766,-938.7855168944902,20.893197500000003,-0.031319675833332006,4
mp-1094600,LiMg2,other,-1.6605486869812012,482.47556299616565,-801.1741626337987,27.992521666666004,-0.027757740555555,6
mp-1235252,LiO8,oxide,3.917081117630005,198.6272030781955,778.03886662526,9.239624444445,-0.41782946370370305,9
mp-2659,LiN3,other,1.7963392734527588,547.414171658725,983.3415753951778,0.0,-0.205821525729167,4
mp-973455,LiMg2,other,-1.0169140100479126,482.47556299616565,-490.6361595165551,10.646323333333001,-0.045103938888888,6
mp-976262,LiMg,other,-1.2863901853561401,857.773795045766,-1103.4317912025626,11.205559166666001,-0.041007314166667,6
mp-1094673,LiMg,other,-0.7532755136489868,857.773795045766,-646.1399960577401,0.700420000001,-0.051512453333331,2
mp-22902,LiBi,other,-0.9650253057479858,124.12850231612059,-119.78714589965384,3.3964966666630003,-0.415156415833333,2
mp-1222413,LiB3,other,1.6542607545852661,680.7030019810027,1126.0602617055495,0.0,-0.285529338541667,16
mp-1094567,LiMg3,other,-1.6744023561477661,335.62913243838915,-561.9782101466694,28.311948333333003,-0.013500748333333002,4
mp-1185461,LiSn3,sulfide,0.24429261684417725,73.82027206799772,18.033747439640287,33.758912499999,-0.12917458208333302,4
mp-862658,LiCu3,other,0.4511203467845917,135.6520682866094,61.19540808750234,0.0,-0.011274624166665002,4
mp-862716,LiAg3,other,0.12009873986244202,81.08412273525953,9.738100963356255,0.0,-0.128797530416665,4
mp-865939,LiMg2,other,-0.5871750116348267,482.47556299616565,-283.2975943157931,0.0,-0.055750262222222007,3
mp-973748,LiIn3,other,-0.3270198404788971,76.27313991377225,-24.9428300474264,14.984695000002,-0.196137001666667,4
mp-975906,LiAl3,other,0.817557692527771,304.9645810185015,249.32613916018457,26.654015000000005,-0.07758537916666601,4
mp-975909,LiAu3,other,0.5774837732315063,44.83133999772952,25.889371380913396,4.237167500001001,-0.37749018416666,4
mp-7943,LiAs,sulfide,0.8450031280517578,327.40225695250336,276.6559312560707,0.0,-0.588209097083334,16
mp-9588,LiP,other,0.7650700807571411,706.9014438228571,540.8291447128929,0.0,-0.616667199821428,16
mp-1018026,LiAg,other,-1.3731499910354614,233.4481905631256,-320.5593807790006,14.274759999999002,-0.16617734083333402,4
mp-13444,LiSn,sulfide,-0.4789028465747833,213.30510700272978,-102.15242293254605,0.181316666667,-0.325685672499999,12
mp-8490,LiGe,other,0.5278474688529968,336.78893203151506,177.77318531053922,33.398377708333,-0.247402372708333,12
mp-27687,LiP7,other,2.248347520828247,119.7815487022204,269.3105480656052,0.0,-0.19070094749999902,64
mp-1094570,LiMg2,other,-1.5655686855316162,482.47556299616565,-755.3486329610336,31.590918333333004,-0.024159343888888,6
mp-1094605,LiMg2,other,-1.4962657690048218,482.47556299616565,-721.9116692924921,33.004013333333006,-0.022746248888889,6
mp-1094592,LiMg,other,-1.5304428339004517,857.773795045766,-1312.7737577353873,40.842197499999,-0.011370675833333,6
mp-1094559,LiMg2,other,-0.844373345375061,482.47556299616565,-407.3895051887884,46.558658333333,-0.009191603888888001,6
mp-1094853,LiMg,other,-1.856969952583313,857.773795045766,-1592.8601635133443,43.383229999999,-0.008829643333333,4
mp-2750540,LiTe3,other,1.0943502187728882,68.76874642390717,75.25709269374009,4.932146458337001,-0.449920973958334,48
mp-1094578,LiMg,other,-1.1197936534881592,857.773795045766,-960.5296518207017,29.4019875,-0.022810885833333003,2
mp-1185301,LiF,fluoride,1.0413037538528442,1033.2543040157532,1075.9315854562117,24.405554999999005,-3.164539748333333,4
mp-1185319,LiCl,other,0.2537138760089874,632.2121054866254,160.40098374281456,3.8527562499990005,-2.021952504583333,4
